"","light_phase","network","block","treatment","day","time","location","focal_individual","behaviour","social_partner","partner_response","notes","patch_partner"
"1","dark",1,1,"twelve",1,"8:32 AM","1","J","mating","U","N/A","","U"
"2","dark",1,1,"twelve",1,"8:33 AM","5","F","mating","N","N/A","","N"
"3","dark",1,1,"twelve",1,"8:34 AM","4","B","mount","Q","Ran away","","Q"
"4","dark",1,1,"twelve",1,"8:35 AM","10","H","mating","T","N/A","","T"
"5","dark",1,1,"twelve",1,"8:36 AM","7","C","mating","P","N/A","","P"
"6","dark",1,1,"twelve",1,"8:37 AM","5","D","mount","N","Pressing firmly against shelter wall","","N"
"7","dark",1,1,"twelve",1,"8:40 AM","7","C","mount","P","Ran away","","P"
"8","dark",1,1,"twelve",1,"8:40 AM","5","D","mount","N","Pressing firmly against shelter wall","","N"
"9","dark",1,1,"twelve",1,"8:45 AM","5","D","mount","N","Pressing firmly against shelter wall","","N"
"10","dark",1,1,"twelve",1,"8:48 AM","5","D","mount","N","Pressing firmly against shelter wall","","N"
"11","dark",1,1,"twelve",1,"8:49 AM","7","C","mount","P","Ran away","","P"
"12","dark",1,1,"twelve",1,"8:49 AM","1","J","mating","X","N/A","","X"
"13","dark",1,1,"twelve",1,"8:50 AM","11","A","mating","W","Walked around","","W"
"14","dark",1,1,"twelve",1,"8:54 AM","11","W","Exit 11","unknown","N/A","",NA
"15","dark",1,1,"twelve",1,"8:55 AM","4","W","Enter 4","unknown","N/A","",NA
"16","dark",1,1,"twelve",1,"8:55 AM","4","unknown","mount","W","Ran away","","W"
"17","dark",1,1,"twelve",1,"9:05 AM","2","E","mating","S","Left 2 with .4 on her","","S"
"18","dark",1,1,"twelve",1,"9:06 AM","7","P","Move within 7","C","N/A","","C"
"19","dark",1,1,"twelve",1,"9:09 AM","2","E","Enter 2","unknown","N/A","",NA
"20","dark",1,1,"twelve",1,"9:09 AM","10","T","Left 10","unknown","Left 9.","",NA
"21","dark",1,1,"twelve",1,"9:10 AM","10","I","Move within 10","V","Left .7 and 2.","","V"
"22","dark",1,1,"twelve",1,"9:11 AM","5","D","mount","F","N/A","","F"
"23","dark",1,1,"twelve",1,"9:12 AM","10","O","Move within 10","unknown","No longer with .7","",NA
"24","dark",1,1,"twelve",1,"9:12 AM","10","H","mating","O","N/A","","O"
"25","dark",1,1,"twelve",1,"9:13 AM","10","I","mount","V","Pressing firmly against shelter wall","","V"
"26","dark",1,1,"twelve",1,"9:15 AM","7","C","Move within 7","unknown","No longer with 3.","",NA
"27","dark",1,1,"twelve",1,"9:16 AM","8","L","Exit 8","unknown","N/A","",NA
"28","dark",1,1,"twelve",1,"9:16 AM","7","P","Exit 7","unknown","N/A","",NA
"29","dark",1,1,"twelve",1,"9:17 AM","12","P","Enter 12","unknown","N/A","",NA
"30","dark",1,1,"twelve",1,"9:17 AM","1","X","Move within 1","unknown","N/A","",NA
"31","dark",1,1,"twelve",1,"9:18 AM","11","L","Enter 11","A","N/A","","A"
"32","dark",1,1,"twelve",1,"9:19 AM","10","I","mount","T","Walk around","","T"
"33","dark",1,1,"twelve",1,"9:20 AM","5","D","mount","F","N/A","","F"
