light_phase,network,block,treatment,day,time,location,focal_individual,behaviour,social_partner,partner_response,notes,,,,,,,,,,,
dark,1,1,twelve,1,8:32 AM,1,.9,Mating,8.,N/A,,,,,,,,,,,,
dark,1,1,twelve,1,8:33 AM,5,.5,Mating,1.,N/A,,,,,,,,,,,,
dark,1,1,twelve,1,8:34 AM,4,.1,Mount ,4.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,8:35 AM,10,.7,Mating,7.,N/A,,,,,,,,,,,,
dark,1,1,twelve,1,8:36 AM,7,.2,Mating,3.,N/A,,,,,,,,,,,,
dark,1,1,twelve,1,8:37 AM,5,.3,Mount ,1.,Pressing firmly against shelter wall,,,,,,,,,,,,
dark,1,1,twelve,1,8:40 AM,7,.2,Mount ,3.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,8:40 AM,5,.3,Mount ,1.,Pressing firmly against shelter wall,,,,,,,,,,,,
dark,1,1,twelve,1,8:45 AM,5,.3,Mount ,1.,Pressing firmly against shelter wall,,,,,,,,,,,,
dark,1,1,twelve,1,8:48 AM,5,.3,Mount ,1.,Pressing firmly against shelter wall,,,,,,,,,,,,
dark,1,1,twelve,1,8:49 AM,7,.2,Mount ,3.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,8:49 AM,1,.9,Mating,1:,N/A,,,,,,,,,,,,
dark,1,1,twelve,1,8:50 AM,11,.0,Mating,0:,Walked around,,,,,,,,,,,,
dark,1,1,twelve,1,8:54 AM,11,0:,Exit 11,N/A,N/A,,,,,,,,,,,,
dark,1,1,twelve,1,8:55 AM,4,0:,Enter 4,,N/A,,,,,,,,,,,,
dark,1,1,twelve,1,8:55 AM,4,.1                                                                                                                                                                                                                                                                                                                                                        ,Mount,0:,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,9:05 AM,2,.4,Mating,6.,Left 2 with .4 on her,,,,,,,,,,,,
dark,1,1,twelve,1,9:06 AM,7,3.,Move within 7,.2,N/A,,,,,,,,,,,,
dark,1,1,twelve,1,9:09 AM,2,.4,Enter 2,N/A,N/A,,,,,,,,,,,,
