block,network,treatment,day,bug_id,sex,feed_status
1,1,twelve,1,A,male,fed
1,1,twelve,1,B,male,fed
1,1,twelve,1,C,male,unfed
1,1,twelve,1,D,male,unfed
1,1,twelve,1,E,male,unfed
1,1,twelve,1,F,male,unfed
1,1,twelve,1,G,male,unfed
1,1,twelve,1,H,male,unfed
1,1,twelve,1,I,male,unfed
1,1,twelve,1,J,male,unfed
1,1,twelve,1,K,male,unfed
1,1,twelve,1,L,male,unfed
1,1,twelve,1,M,female,unfed
1,1,twelve,1,N,female,unfed
1,1,twelve,1,O,female,unfed
1,1,twelve,1,P,female,fed
1,1,twelve,1,R,female,unfed
1,1,twelve,1,S,female,unfed
1,1,twelve,1,T,female,fed
1,1,twelve,1,U,female,unfed
1,1,twelve,1,V,female,fed
1,1,twelve,1,W,female,unfed
1,1,twelve,1,X,female,fed
1,1,twelve,2,A,male,unfed
1,1,twelve,2,B,male,unfed
1,1,twelve,2,C,male,unfed
1,1,twelve,2,D,male,unfed
1,1,twelve,2,E,male,unfed
1,1,twelve,2,F,male,unfed
1,1,twelve,2,G,male,unfed
1,1,twelve,2,H,male,unfed
1,1,twelve,2,I,male,unfed
1,1,twelve,2,J,male,unfed
1,1,twelve,2,K,male,unfed
1,1,twelve,2,L,male,unfed
1,1,twelve,2,M,female,unfed
1,1,twelve,2,N,female,unfed
1,1,twelve,2,O,female,unfed
1,1,twelve,2,P,female,unfed
1,1,twelve,2,R,female,unfed
1,1,twelve,2,S,female,unfed
1,1,twelve,2,T,female,unfed
1,1,twelve,2,U,female,unfed
1,1,twelve,2,V,female,unfed
1,1,twelve,2,W,female,unfed
1,1,twelve,2,X,female,unfed
1,1,twelve,3,A,male,unfed
1,1,twelve,3,B,male,fed
1,1,twelve,3,C,male,fed
1,1,twelve,3,D,male,unfed
1,1,twelve,3,E,male,fed
1,1,twelve,3,F,male,unfed
1,1,twelve,3,G,male,fed
1,1,twelve,3,H,male,unfed
1,1,twelve,3,I,male,unfed
1,1,twelve,3,J,male,unfed
1,1,twelve,3,K,male,fed
1,1,twelve,3,L,male,fed
1,1,twelve,3,M,female,fed
1,1,twelve,3,N,female,unfed
1,1,twelve,3,O,female,fed
1,1,twelve,3,P,female,unfed
1,1,twelve,3,R,female,fed
1,1,twelve,3,S,female,fed
1,1,twelve,3,T,female,fed
1,1,twelve,3,U,female,fed
1,1,twelve,3,V,female,unfed
1,1,twelve,3,W,female,fed
1,1,twelve,3,X,female,fed
1,1,twelve,4,A,male,unfed
1,1,twelve,4,B,male,unfed
1,1,twelve,4,C,male,unfed
1,1,twelve,4,D,male,unfed
1,1,twelve,4,E,male,unfed
1,1,twelve,4,F,male,unfed
1,1,twelve,4,G,male,unfed
1,1,twelve,4,H,male,unfed
1,1,twelve,4,I,male,unfed
1,1,twelve,4,J,male,unfed
1,1,twelve,4,K,male,unfed
1,1,twelve,4,L,male,unfed
1,1,twelve,4,M,female,unfed
1,1,twelve,4,N,female,unfed
1,1,twelve,4,O,female,unfed
1,1,twelve,4,P,female,unfed
1,1,twelve,4,R,female,unfed
1,1,twelve,4,S,female,unfed
1,1,twelve,4,T,female,unfed
1,1,twelve,4,U,female,unfed
1,1,twelve,4,V,female,unfed
1,1,twelve,4,W,female,unfed
1,1,twelve,4,X,female,unfed
1,1,twelve,5,A,male,unfed
1,1,twelve,5,B,male,unfed
1,1,twelve,5,C,male,unfed
1,1,twelve,5,D,male,fed
1,1,twelve,5,E,male,fed
1,1,twelve,5,F,male,unfed
1,1,twelve,5,G,male,unfed
1,1,twelve,5,H,male,unfed
1,1,twelve,5,I,male,unfed
