,network,block,treatment,day,time_hour_abs,focal_individual,behaviour,social_partner,partner_response,notes,partner_sex,mating_recency
1,1,1,twelve,1,8.53,J,mating,U,N/A,,female,N/A
2,1,1,twelve,1,8.55,F,mating,N,N/A,,female,N/A
3,1,1,twelve,1,8.57,B,mount,Q,Ran away,,female,N/A
4,1,1,twelve,1,8.58,H,mating,T,N/A,,female,N/A
5,1,1,twelve,1,8.6,C,mating,P,N/A,,female,N/A
6,1,1,twelve,1,8.62,D,mount,N,Pressing firmly against shelter wall,,female,0.07
7,1,1,twelve,1,8.67,C,mount,P,Ran away,,female,0.07
8,1,1,twelve,1,8.67,D,mount,N,Pressing firmly against shelter wall,,female,0.12
9,1,1,twelve,1,8.75,D,mount,N,Pressing firmly against shelter wall,,female,0.2
10,1,1,twelve,1,8.8,D,mount,N,Pressing firmly against shelter wall,,female,0.25
11,1,1,twelve,1,8.82,C,mount,P,Ran away,,female,0.22
12,1,1,twelve,1,8.82,J,mating,X,N/A,,female,N/A
13,1,1,twelve,1,8.83,A,mating,W,Walked around,,female,N/A
14,1,1,twelve,1,8.92,unknown,mount,W,Ran away,,female,0.09
15,1,1,twelve,1,9.08,E,mating,S,Left 2 with .4 on her,,female,N/A
16,1,1,twelve,1,9.2,H,mating,O,N/A,,female,N/A
17,1,1,twelve,1,9.22,I,mount,V,Pressing firmly against shelter wall,,female,N/A
18,1,1,twelve,1,9.32,I,mount,T,Walk around,,female,0.74
19,1,1,twelve,1,9.57,K,mating,Q,Running around,,female,N/A
20,1,1,twelve,1,9.82,H,mount,T,Ran away,,female,1.24
21,1,1,twelve,1,10.35,B,mating,W,"Running around, left 4",,female,1.52
22,1,1,twelve,1,10.83,D,mount,N,,,female,2.28
23,1,1,twelve,1,11.2,F,mating,X,"Walking around, entered 8",,female,2.38
24,1,1,twelve,1,12.3,E,mount,V,Ran away,,female,N/A
25,1,1,twelve,1,12.38,A,mount,P,Ran away,,female,3.78
26,1,1,twelve,1,12.4,A,mount,S,Ran away,,female,3.32
27,1,1,twelve,1,12.43,K,mating,X,Running around,,female,1.23
