,light_phase,network,block,treatment,day,time_hour_abs,location,focal_individual,behaviour,social_partner,partner_response,notes,patch_partner,mating_recency
1,dark,1,1,twelve,1,8.53,1,J,mating,U,N/A,,U,N/A
2,dark,1,1,twelve,1,8.55,5,F,mating,N,N/A,,N,N/A
3,dark,1,1,twelve,1,8.58,10,H,mating,T,N/A,,T,N/A
4,dark,1,1,twelve,1,8.6,7,C,mating,P,N/A,,P,N/A
5,dark,1,1,twelve,1,8.82,1,J,mating,X,N/A,,X,0.29
6,dark,1,1,twelve,1,8.83,11,A,mating,W,Walked around,,W,N/A
7,dark,1,1,twelve,1,9.08,2,E,mating,S,Left 2 with .4 on her,,S,N/A
8,dark,1,1,twelve,1,9.2,10,H,mating,O,N/A,,O,0.62
9,dark,1,1,twelve,1,9.57,Outside 3,K,mating,Q,Running around,,Q,N/A
10,dark,1,1,twelve,1,10.35,4,B,mating,W,"Running around, left 4",,W,N/A
11,dark,1,1,twelve,1,11.2,9,F,mating,X,"Walking around, entered 8",,X,2.65
12,dark,1,1,twelve,1,12.43,Open,K,mating,X,Running around,,X,2.86
13,dark,1,1,twelve,1,12.77,Open,B,mating,V,"Running around, entered 2",,V,2.42
14,dark,1,1,twelve,1,13.47,4,D,mating,M,Walked around,,M,N/A
15,dark,1,1,twelve,1,13.77,Outside 1,E,mating,R,,,R,4.69
16,dark,1,1,twelve,1,14.17,Outside 10,L,mating,S,Walk around,,S,N/A
17,dark,1,1,twelve,1,14.7,Open,H,mating,U,,,U,5.5
18,dark,1,1,twelve,1,15.1,Open,B,mating,R,Walking around,,R,2.33
19,dark,1,1,twelve,1,15.52,Outside 7,G,mating,M,Walking around,,M,N/A
20,dark,1,1,twelve,1,15.55,Open,D,mating,U,Walking around,,U,2.08
21,dark,1,1,twelve,2,35.45,12,L,mating,N,Run around,Ran into 0: and 7. (all remained together after),N,21.28
22,dark,1,1,twelve,2,36.78,8,A,mating,M,N/A,,M,27.95
23,dark,1,1,twelve,2,37.05,7,J,mating,O,N/A,,O,28.23
24,dark,1,1,twelve,2,37.75,9,H,mating,X,N/A,,X,23.05
25,dark,1,1,twelve,2,39.32,1,D,mating,U,N/A,,U,23.77
26,dark,1,1,twelve,3,59.15,10,E,mating,S,Running around,,S,45.38
27,dark,1,1,twelve,3,59.28,10,I,mating,S,Ran away,Running around with .8 on her and pushed .4 out of the shelter and .2 out of aggregation,S,N/A
28,dark,1,1,twelve,3,60.4,10,C,mating,O,N/A,,O,51.8
29,dark,1,1,twelve,3,61.45,Feeder,G,mating,U,Ran and entered 8,.0 tried to get on top too abd caused 6. to dismount,U,45.93
30,dark,1,1,twelve,3,62.65,3,B,mating,U,N/A,,U,47.55
31,dark,1,1,twelve,3,62.78,11,F,mating,X,Pressed against wall,"Pinched into corner, hard to tell if this was a successful mating but it did last >30 seconds",X,51.58
32,dark,1,1,twelve,3,63.75,7,L,mating,M,N/A,Pushed .6 off,M,28.3
33,dark,1,1,twelve,3,64.33,8,H,mating,P,Walking around,,P,26.58
34,dark,1,1,twelve,3,64.67,Open,K,mating,U,Walking around,,U,52.24
35,dark,1,1,twelve,3,65.02,Open,B,mating,P,,,P,2.37
36,dark,1,1,twelve,4,81.42,10,B,mating,P,ran into group of bugs,could not see if .1 was in mating position ,P,16.4
37,dark,1,1,twelve,4,83.08,10,I,mating,V,N/A,,V,23.8
38,dark,1,1,twelve,4,86.35,10,I,mating,V,Walked into group of bugs,,V,3.27
39,dark,1,1,twelve,4,88.1,2,F,mating,P,Walking around,,P,25.32
40,dark,1,1,twelve,4,88.17,2,E,mating,P,Running around,"Got mounted by .2 too, left 2 while on 3.",P,29.02
41,dark,1,1,twelve,5,105.22,10,G,mating,T,7. moved towards the cluster of other bugs,,T,39.8
42,dark,1,1,twelve,5,107.58,7,L,mating,P,tried to run and pin against wall,exited 7 while :1 was on her,P,7.34
