,light_phase,network,block,treatment,day,time,time_sec,time_hour_abs,location,focal_individual,behaviour,social_partner,partner_response,notes,patch_partner
1,dark,1,1,twelve,1,8:32 AM,30720.00,8.53,1,J,mating,U,N/A,,U
2,dark,1,1,twelve,1,8:33 AM,30780.00,8.55,5,F,mating,N,N/A,,N
3,dark,1,1,twelve,1,8:34 AM,30840.00,8.57,4,B,mount,Q,Ran away,,Q
4,dark,1,1,twelve,1,8:35 AM,30900.00,8.58,10,H,mating,T,N/A,,T
5,dark,1,1,twelve,1,8:36 AM,30960.00,8.60,7,C,mating,P,N/A,,P
6,dark,1,1,twelve,1,8:37 AM,31020.00,8.62,5,D,mount,N,Pressing firmly against shelter wall,,N
7,dark,1,1,twelve,1,8:40 AM,31200.00,8.67,7,C,mount,P,Ran away,,P
8,dark,1,1,twelve,1,8:40 AM,31200.00,8.67,5,D,mount,N,Pressing firmly against shelter wall,,N
9,dark,1,1,twelve,1,8:45 AM,31500.00,8.75,5,D,mount,N,Pressing firmly against shelter wall,,N
10,dark,1,1,twelve,1,8:48 AM,31680.00,8.80,5,D,mount,N,Pressing firmly against shelter wall,,N
11,dark,1,1,twelve,1,8:49 AM,31740.00,8.82,7,C,mount,P,Ran away,,P
12,dark,1,1,twelve,1,8:49 AM,31740.00,8.82,1,J,mating,X,N/A,,X
13,dark,1,1,twelve,1,8:50 AM,31800.00,8.83,11,A,mating,W,Walked around,,W
14,dark,1,1,twelve,1,8:55 AM,32100.00,8.92,4,unknown,mount,W,Ran away,,W
15,dark,1,1,twelve,1,9:05 AM,32700.00,9.08,2,E,mating,S,Left 2 with .4 on her,,S
16,dark,1,1,twelve,1,9:11 AM,33060.00,9.18,5,D,mount,F,N/A,,F
17,dark,1,1,twelve,1,9:12 AM,33120.00,9.20,10,H,mating,O,N/A,,O
18,dark,1,1,twelve,1,9:13 AM,33180.00,9.22,10,I,mount,V,Pressing firmly against shelter wall,,V
19,dark,1,1,twelve,1,9:19 AM,33540.00,9.32,10,I,mount,T,Walk around,,T
20,dark,1,1,twelve,1,9:20 AM,33600.00,9.33,5,D,mount,F,N/A,,F
21,dark,1,1,twelve,1,9:34 AM,34440.00,9.57,Outside 3,K,mating,Q,Running around,,Q
22,dark,1,1,twelve,1,9:49 AM,35340.00,9.82,10,H,mount,T,Ran away,,T
23,dark,1,1,twelve,1,10:21 AM,37260.00,10.35,4,B,mating,W,"Running around, left 4",,W
24,dark,1,1,twelve,1,10:50 AM,39000.00,10.83,5,D,mount,N,,,N
