block,network,treatment,day,social_partner,num_of_mates
1,1,twelve,1,M,2
1,1,twelve,1,N,1
1,1,twelve,1,O,1
1,1,twelve,1,P,1
1,1,twelve,1,R,2
1,1,twelve,1,S,2
1,1,twelve,1,T,1
1,1,twelve,1,U,3
1,1,twelve,1,V,1
1,1,twelve,1,W,2
1,1,twelve,1,X,3
1,1,twelve,2,M,1
1,1,twelve,2,N,1
1,1,twelve,2,O,1
1,1,twelve,2,P,0
1,1,twelve,2,R,0
1,1,twelve,2,S,0
1,1,twelve,2,T,0
1,1,twelve,2,U,1
1,1,twelve,2,V,0
1,1,twelve,2,W,0
1,1,twelve,2,X,1
1,1,twelve,3,M,1
1,1,twelve,3,N,0
1,1,twelve,3,O,1
1,1,twelve,3,P,3
1,1,twelve,3,R,0
1,1,twelve,3,S,2
1,1,twelve,3,T,0
1,1,twelve,3,U,3
1,1,twelve,3,V,0
1,1,twelve,3,W,0
1,1,twelve,3,X,1
1,1,twelve,4,M,0
1,1,twelve,4,N,0
1,1,twelve,4,O,0
1,1,twelve,4,P,3
1,1,twelve,4,R,0
1,1,twelve,4,S,0
1,1,twelve,4,T,0
1,1,twelve,4,U,0
1,1,twelve,4,V,2
1,1,twelve,4,W,0
1,1,twelve,4,X,0
1,1,twelve,5,M,2
1,1,twelve,5,N,2
1,1,twelve,5,O,0
1,1,twelve,5,P,3
1,1,twelve,5,R,0
1,1,twelve,5,S,0
1,1,twelve,5,T,4
1,1,twelve,5,U,0
1,1,twelve,5,V,1
1,1,twelve,5,W,4
1,1,twelve,5,X,0
1,1,twelve,6,M,2
1,1,twelve,6,N,0
1,1,twelve,6,O,0
1,1,twelve,6,P,0
1,1,twelve,6,R,0
1,1,twelve,6,S,0
1,1,twelve,6,T,2
1,1,twelve,6,U,1
1,1,twelve,6,V,3
1,1,twelve,6,W,0
1,1,twelve,6,X,2
1,2,two,1,M,1
1,2,two,1,N,1
1,2,two,1,O,2
1,2,two,1,P,1
1,2,two,1,Q,5
1,2,two,1,R,1
1,2,two,1,S,2
1,2,two,1,T,3
1,2,two,1,U,2
1,2,two,1,V,3
1,2,two,1,W,1
1,2,two,1,X,1
1,2,two,2,M,0
1,2,two,2,N,0
