"","light_phase","network","block","treatment","day","time","location","focal_individual","behaviour","social_partner","partner_response","notes","patch_partner"
"1","dark",1,1,"twelve",1,"8:32 AM","1","J","mating","U","N/A","","U"
"2","dark",1,1,"twelve",1,"8:33 AM","5","F","mating","N","N/A","","N"
"3","dark",1,1,"twelve",1,"8:35 AM","10","H","mating","T","N/A","","T"
"4","dark",1,1,"twelve",1,"8:36 AM","7","C","mating","P","N/A","","P"
"5","dark",1,1,"twelve",1,"8:49 AM","1","J","mating","X","N/A","","X"
"6","dark",1,1,"twelve",1,"8:50 AM","11","A","mating","W","Walked around","","W"
"7","dark",1,1,"twelve",1,"9:05 AM","2","E","mating","S","Left 2 with .4 on her","","S"
"8","dark",1,1,"twelve",1,"9:12 AM","10","H","mating","O","N/A","","O"
"9","dark",1,1,"twelve",1,"9:34 AM","Outside 3","K","mating","Q","Running around","","Q"
"10","dark",1,1,"twelve",1,"10:21 AM","4","B","mating","W","Running around, left 4","","W"
"11","dark",1,1,"twelve",1,"11:12 AM","9","F","mating","X","Walking around, entered 8","","X"
"12","dark",1,1,"twelve",1,"12:26 PM","Open","K","mating","X","Running around","","X"
"13","dark",1,1,"twelve",1,"12:46 PM","Open","B","mating","V","Running around, entered 2","","V"
"14","dark",1,1,"twelve",1,"1:28 PM","4","D","mating","M","Walked around","","M"
"15","dark",1,1,"twelve",1,"1:46 PM","Outside 1","E","mating","R","","","R"
"16","dark",1,1,"twelve",1,"2:10 PM","Outside 10","L","mating","S","Walk around","","S"
"17","dark",1,1,"twelve",1,"2:42 PM","Open","H","mating","U","","","U"
"18","dark",1,1,"twelve",1,"3:06 PM","Open","B","mating","R","Walking around","","R"
"19","dark",1,1,"twelve",1,"3:31 PM","Outside 7","G","mating","M","Walking around","","M"
"20","dark",1,1,"twelve",1,"3:33 PM","Open","D","mating","U","Walking around","","U"
"21","dark",1,1,"twelve",2,"11:27 AM","12","L","mating","N","Run around","Ran into 0: and 7. (all remained together after)","N"
"22","dark",1,1,"twelve",2,"12:47 PM","8","A","mating","M","N/A","","M"
"23","dark",1,1,"twelve",2,"1:03 PM","7","J","mating","O","N/A","","O"
"24","dark",1,1,"twelve",2,"1:45 PM","9","H","mating","X","N/A","","X"
"25","dark",1,1,"twelve",2,"3:19 PM","1","D","mating","U","N/A","","U"
"26","dark",1,1,"twelve",3,"11:09 AM","10","E","mating","S","Running around","","S"
"27","dark",1,1,"twelve",3,"11:17 AM","10","I","mating","S","Ran away","Running around with .8 on her and pushed .4 out of the shelter and .2 out of aggregation","S"
"28","dark",1,1,"twelve",3,"12:24 PM","10","C","mating","O","N/A","","O"
"29","dark",1,1,"twelve",3,"1:27 PM","Feeder","G","mating","U","Ran and entered 8",".0 tried to get on top too abd caused 6. to dismount","U"
"30","dark",1,1,"twelve",3,"2:39 PM","3","B","mating","U","N/A","","U"
"31","dark",1,1,"twelve",3,"2:47 PM","11","F","mating","X","Pressed against wall","Pinched into corner, hard to tell if this was a successful mating but it did last >30 seconds","X"
"32","dark",1,1,"twelve",3,"3:45 PM","7","L","mating","M","N/A","Pushed .6 off","M"
